TIME_SINCE_MARK,CURRENT_STAGE,ALTITUDE_ASL,DOWN_RANGE,SPEED_SURFACE,SPEED_ORBITAL,MASS,ACCELERATION,Q,AO_A,AO_S,AO_D,ALTITUDE_TRUE,PITCH,GRAVITY_LOSSES,DRAG_LOSSES,STEERING_LOSSES,DELTA_V_EXPENDED
217.379999965204,1,135052.103328862,412752.680699131,5161.56912919741,5574.73513489362,10.9919421979575,2.71745983496222,0.021466553107082,-7.51819338307229,0.192354664705402,7.52056633591055,134991.280330711,0.00290211709216237,676.437139235611,216.390249362177,536.685206000829,6573.15296270621
217.599999965169,1,135200.60221122,413856.26014738,5167.12086993255,5580.31327752086,10.9735863515525,2.72156764010184,0.0202466687616936,-7.49849117386973,0.192616641942513,7.50088493398774,135139.872429082,0.00290093489456922,676.687589631277,216.390312074395,536.728259912803,6579.02759457944
217.819999965133,1,135348.8736174,414961.007733757,5172.68110269904,5585.89980697284,10.9552324124961,2.72552976123658,0.0190611020575653,-7.47884841842284,0.192884341137479,7.48124125193873,135288.236851136,0.00289641977287829,676.937395053713,216.390369677399,536.771169219348,6584.91236005058
218.039999965098,1,135496.918037704,416067.022451864,5178.25282987712,5591.49772976066,10.9368779966026,2.73036149726061,0.0179098797742686,-7.4592529963717,0.193163897088603,7.46167236523364,135436.374086783,0.00289376962464303,677.186557168879,216.390424089321,536.813930936,6590.80677454533
218.259999965063,1,135644.735963569,417174.186238758,5183.83323794557,5597.10422923732,10.91852949647,2.73406409538677,0.0167932343331076,-7.43972101998668,0.193426396538844,7.44216307069099,135584.284626736,0.00288174855522811,677.435077763007,216.390475850612,536.856528874249,6596.70853188295
218.479999965028,1,135792.327887315,418282.627948497,5189.4272997036,5602.72428468359,10.9001722195535,2.73940557019099,0.0157112797283907,-7.42023728620438,0.193687796511276,7.42269000096269,135731.968963182,0.00287121613509953,677.682958409016,216.390522530398,536.899012499683,6602.62444343797
218.699999964992,1,135939.694302717,419392.218885395,5195.03347912803,5608.35635844426,10.8818106511026,2.74502421900892,0.0146640732165329,-7.40078849267894,0.193959141640727,7.40325877764332,135879.427589016,0.00287609226070344,677.930200738025,216.39056731593,536.941365536007,6608.55224592016
218.919999964957,1,136086.835705418,420503.205961291,5200.64881164406,5613.99748270631,10.8634610035806,2.74893833912987,0.0136516717827433,-7.38140291999744,0.194229196513092,7.38388565962187,136026.660999256,0.00287322623189539,678.176806500976,216.390608291781,536.983539666416,6614.48510107271
219.139999964922,1,136233.752591998,421615.351034142,5206.27256084304,5619.64692063624,10.8451096722274,2.75239561440526,0.0126741983013358,-7.36206846543953,0.194511663042685,7.36455243670059,136173.669690307,0.00287611135281622,678.422777509794,216.390646158001,537.025569373485,6620.42780030569
219.359999964887,1,136380.445460156,422728.636716208,5211.90759108284,5625.30754033881,10.8267584600835,2.75712222432784,0.0117319453267525,-7.34278115159036,0.194775529539016,7.3452994991746,136320.454159025,0.00288119907490909,678.668115439053,216.39068227035,537.067456931271,6626.38057387108
