TimeSinceMark,CurrentStage,AltitudeASL,DownRange,SpeedSurface,SpeedOrbital,Mass,Acceleration,Q,AoA,AoS,AoD,AltitudeTrue,Pitch,GravityLosses,DragLosses,SteeringLosses,DeltaVExpended
0,5,78.9839569170028,0.00894069671630859,0.00251489993558331,174.965257117981,21.8875000243424,0.994873985977384,3.52051518977896E-06,0,0,0,6.52033389545628,89.9576293945313,0,0,0,0
0.0200000000186265,4,78.983956660633,0.0126440545532682,0.00251177904824809,174.965238456025,21.8875000243424,0.994867821649391,3.51542548761503E-06,0,0,0,6.52033429465489,89.9571594238281,0,3.94990635454661E-11,0,0
0.220000000204891,4,79.109096030565,0.00894069671630859,0.847757759083866,174.966463562916,21.4611850445508,1.38680172795942,0.268665018668641,-0.00238693889255304,-0.0556447884329578,0.0539454177382682,6.57368719429942,89.9577606201172,0.00950383476587121,6.10527621708801E-06,3.47502897694805,3.4889159201551
0.420000000391155,4,79.4505921827396,0.0126440545532682,2.38748603116441,174.977970984187,21.4348691170453,1.77981876800148,2.78196743758343,-0.0222972978822009,-0.0531446658639496,0.0529034046987426,6.8078873573069,89.9555084228516,0.0362670494805753,5.08327492095403E-05,6.92364521409884,6.98212604827668
0.62000000057742,4,80.1005084676202,0.0126440545532682,3.93146627821583,175.002920726889,21.4085542624234,1.78197283141181,7.95563595599512,-0.0226821801887486,-0.0574539121462199,0.055449927905967,7.31894570878474,89.9513092041016,0.0803315574397494,0.000175735760732476,10.3457042218235,10.4796569880569
0.820000000763685,4,81.0596929992898,0.00894069671630859,5.47968328308003,175.041503575035,21.3822383349179,1.7841296743648,15.8102163770095,-0.0212179061424652,-0.0615459955839727,0.0602576305222316,8.13889091782621,89.948486328125,0.141734978763033,0.000422551015311968,13.74106215611,13.9815338726947
1.02000000094995,4,82.3289912432432,0,7.03212315971464,175.093858089947,21.3559233610868,1.78627867970447,26.3655937316129,-0.0185027274705634,-0.0655154237482178,0.0627726567925126,9.26857029781444,89.9485443115234,0.220510585063446,0.000833474095550022,17.1095835761409,17.4877823368804
1.22000000113621,4,83.9092464103014,0,8.58876949570353,175.160115113355,21.3296083872556,1.78841833710069,39.6409885875131,-0.0145643108300494,-0.0693798446145587,0.0667129613686293,10.7088278558722,89.9421356201172,0.31668720845797,0.00145110520985494,20.4511433682989,20.9984287156929
1.42000000132248,4,85.8012976256781,0,10.1496077369447,175.240395358456,21.3032935326337,1.79054901735325,55.6548915447348,-0.00937030386294282,-0.0730999701207837,0.0690413442317186,12.4605046496028,89.9391235351563,0.430289209341629,0.0023184359207142,23.7656290507473,24.5134988949109
1.62000000150874,4,88.0059815590735,0.0126440545532682,11.714623577084,175.334805698761,21.2769785588025,1.79267209573055,74.4251354724326,-0.0029855385378673,-0.0766432555048318,0.0726619274120956,14.52443922234,89.9356079101563,0.561336438041526,0.00347918638194109,27.0529427600015,28.0330195165784
1.82000000169501,4,90.5241322893766,0.0199920056238752,13.283802383356,175.443437242368,21.250662631297,1.79478562652314,95.9688759965697,0.00439486185584178,-0.0799540613848267,0.0760278220816198,16.9014644636191,89.9359130859375,0.709844202351216,0.00497846809798571,30.3130036866192,31.5570181317825
2.02000000188127,4,93.3565802876372,0.0252881091065364,14.8571261111679,175.566364292514,21.2243467037915,1.79688951616261,120.302449806419,0.0124353673048253,-0.0830298329701083,0.0805757605091898,19.5924146854575,89.9397033691406,0.875823212841242,0.00686157720941246,33.5457424254035,35.0855196270134
2.22000000206754,4,96.5041526656831,0.0322361404490231,16.4345771543233,175.703655059795,21.1980317299603,1.79898361152686,147.441454288199,0.0206886991009541,-0.0858435865039057,0.084569937370891,22.5981196735392,89.9417175292969,1.05927957164903,0.00917449133145588,36.7511049470064,38.6185511933669
2.4200000022538,4,99.9676727985847,0.0409714194681273,18.0161391766941,175.85535965292,21.1717167561292,1.80106770552049,177.400754936461,0.0286095945389895,-0.0884025122344952,0.0897544235112275,25.9193984876119,89.9431060791016,1.26021479002223,0.0119638193112619,39.9290498811616,42.1561402938074
2.62000000244007,4,103.747959895909,0.0521327724591968,19.6017920879893,176.021520093482,21.145401782298,1.8031420045762,210.194459832705,0.0356517705742894,-0.09074164448797,0.0960757422996849,29.5570802076219,89.9451477050781,1.47862574933302,0.0152761472265017,43.0795442343819,45.6983129591755
2.82000000262633,4,107.845831909962,0.0632202727663411,21.1915226710386,176.202174349484,21.1190868084668,1.80520691849083,245.835952689899,0.0412963905534382,-0.0929252258728543,0.0990800941280771,33.5119777797919,89.9505493164063,1.71450478264915,0.0191582066475961,46.2025623394157,49.2450961870997
3.02000000281259,4,112.262103056116,0.0753356496081623,22.7853100479169,176.397359113385,21.0927708809613,1.8072608248164,284.33761769843,0.0451230788869372,-0.0950277654439779,0.1025928676023,37.7849108458916,89.9528015136719,1.96783959610645,0.0236567447108373,49.2980830217872,52.796516750656
3.22000000299886,4,116.997581972671,0.0889588091170747,24.3831333946645,176.607113621807,21.0664559071301,1.80930349153763,325.711154097557,0.0469007334956849,-0.0971370568377118,0.104665137632286,42.3766903724952,89.956884765625,2.23861327528552,0.0288184491514326,52.3660880745497,56.3526019599527
3.42000000318512,4,122.05307028502,0.102720784781063,25.9849789477639,176.831480867334,21.040140933299,1.81133747768086,369.967596317654,0.0465307488604372,-0.099338364091979,0.106889081237147,47.28811678853,89.9556060791016,2.52680437056836,0.0346899319653705,55.4065605356012,59.9133789480038
