TIME_SINCE_MARK,CURRENT_STAGE,ALTITUDE_ASL,DOWN_RANGE,SPEED_SURFACE,SPEED_ORBITAL,MASS,ACCELERATION,Q,AO_A,AO_S,AO_D,ALTITUDE_TRUE,PITCH,GRAVITY_LOSSES,DRAG_LOSSES,STEERING_LOSSES,DELTA_V_EXPENDED
0,3,40.1220927044749,0,2.17958734813319,462.646335460827,117.002951425442,1.29840751126172,2.48221736101895,0.070590893490548,-0.0322070679097978,0.0739343892597095,9.35908816541545,89.9624450683594,0,0,0,0
0.0199999999967986,3,40.1669541152194,0.0949352979660034,2.23864272805655,462.64658388669,116.993059915432,1.29854463646225,2.62642887434218,0.0693794066358842,-0.0324768786715098,0.0734053459094984,9.3986386451032,89.9596466064453,0.00106314142059486,0,0.253277251672487,0.254650810061661
0.239999999961583,3,40.738452453725,0,2.88957808217705,462.650331777826,116.884197992214,1.29976108885669,4.48429863171402,-0.0785669252790112,-0.0256475515465321,0.0968520784938312,9.91161934462376,89.9372619628906,0.0144177949838818,0,3.0416934782179,3.06042287007485
0.459999999926367,3,41.4535613149405,0,3.54316535287856,462.655394118077,116.775381845364,1.30093042891976,6.84838095980439,-0.23619647424885,-0.0136683321919048,0.235399747403167,10.5679332763422,89.9564544677734,0.0308241065004528,0,5.82690868994193,5.86698765320212
0.679999999891152,3,42.31249505179,0.134258785931453,4.19744270554836,462.660846488861,116.666577142605,1.30145121659582,9.71261426786011,-0.212871429836687,-0.0124738740723749,0.211879400699279,11.3680149950925,89.9912689208984,0.0502850187404739,0,8.61041092667045,8.67581369363243
0.899999999855936,3,43.3158211509697,0.134258785931453,4.85519076816885,462.667240465381,116.557774347195,1.30262699904682,13.0950710458577,-0.192436439278975,-0.012156042384003,0.191350441302137,12.3122003616393,89.9940673828125,0.0728166836300838,0,11.3922700356256,11.4870093363159
1.11999999982072,3,44.4639663334005,0,5.51428283362952,462.674610230925,116.448977273831,1.30357089676917,16.9886508990243,-0.180508770943832,-0.0117948304449303,0.178779424049832,13.4010774979461,90,0.0984249802406345,0,14.1723700337259,14.300475843493
1.3399999997855,3,45.7576748681255,0,6.17819959258078,462.682968614802,116.340130609402,1.30545545606606,21.418820045487,-0.169053922515011,-0.011736766740903,0.167952390961557,14.6351419410296,90,0.127131776264289,0,16.9535554051737,17.1191302692804
1.55999999975029,3,47.1978057922795,0.0949352979660034,6.84458215191464,462.692304890546,116.231327813992,1.30660145264565,26.3858589950841,-0.158842143422391,-0.0118706360371714,0.15847923901957,16.0153295176383,90,0.158949303367414,0,19.7314866040347,19.9385999736397
1.77999999971507,3,48.7846143730916,0,7.51188348111795,462.702600740339,116.122523111233,1.30739483444661,31.8743668433063,-0.150037093990592,-0.012195313323579,0.148940205816806,17.5421173460595,90,0.193881305346872,0,22.5076698160017,22.760425162551
1.99999999967986,3,50.5186832206324,0.0949352979660034,8.18348771031796,462.713931637262,116.013651651272,1.3095024254311,37.9141313270639,-0.14229787049237,-0.0125676507664242,0.140552234870747,19.2158598880097,90,0.231947147464392,0,25.2856036252817,25.5882002982533
2.21999999964464,3,52.4012028248049,0.0949352979660034,8.85971477951152,462.726313054512,115.904818338284,1.31113221639222,44.5324475488556,-0.135546895706216,-0.0130153468406054,0.134725322341492,21.0375649351068,89.996044921875,0.273168833538867,0,28.0603102693538,28.4168950638269
2.43999999960943,3,54.4324591738172,0.134258785931453,9.5361309076054,462.739678933624,115.796000284085,1.31150172295834,51.6804178015472,-0.129751449633892,-0.0135122397327307,0.128039667647347,23.0079696765635,89.9980224609375,0.3175468676249,0,30.8329317624445,31.247680672545
2.65999999957421,3,56.612777614221,0.134258785931453,10.2146554762728,462.754061812291,115.687199396023,1.31249329512071,59.382841930745,-0.124708529596153,-0.0141172348292892,0.123528512439643,25.1272679437511,89.9980224609375,0.365090885977621,5.4528734629556E-05,33.6031865769791,34.080288678555
2.879999999539,3,58.9428663009778,0.0949352979660034,10.8976454216065,462.769541847729,115.578341287503,1.31442119885792,67.6654435648752,-0.120292926658522,-0.0147104380155039,0.118844042877617,27.3959982131422,90,0.415820668271518,0.000129565987980003,36.374485262596,36.9182426639324
3.09999999950378,3,61.4235169163905,0.134258785931453,11.5828096823265,462.786070800636,115.469527048001,1.31562056224063,76.5239145889828,-0.116480984836117,-0.0153429943435623,0.115498436779337,29.8150161986053,89.9980224609375,0.469746766175574,0.0002046732252034,39.1424871315773,39.7571218965721
3.31999999946856,3,64.0552602014504,0.134258785931453,12.2707009192994,462.803668260856,115.360716623196,1.3167300104047,85.9606258032166,-0.11310072698586,-0.0160391962820828,0.111895028839054,32.3848970673606,89.996044921875,0.526881528999528,0.000279850672084311,41.9089713766635,42.5987720818973
3.53999999943335,3,66.8386383639649,0.134258785931453,12.9621966186826,462.82238415185,115.251814645657,1.31871815590286,95.9820828841144,-0.110113632577249,-0.0167569446079044,0.108158343239441,35.1061707183626,90,0.587240498986593,0.000355098547281459,44.6776490589217,45.4470439414839
3.75999999939813,3,69.7747845881619,0.134258785931453,13.6574081898362,462.842230426901,115.142996591458,1.32018332832786,106.632160331474,-0.107490526090259,-0.017496434064036,0.107250306065062,37.9797587987408,90,0.650841867857909,0.000430417072997786,47.4413611740739,48.294604640399
3.97999999936292,3,72.86393685285,0.134258785931453,14.3539693471475,462.863164962277,115.034163278469,1.32075742888519,117.847458795432,-0.105170594450896,-0.0182032621172891,0.104105582287959,41.0062880655006,89.9980224609375,0.717690712888858,0.00050580641848252,50.204173626774,51.1456552864564
